"plot","drought","juv","juv_lcl","juv_ucl","ad_fem","ad_fem_lcl","ad_fem_ucl","ad_male","ad_male_lcl","ad_male_ucl","trans","trans_lcl","trans_ucl","lambda","lambda_lcl","lambda_ucl","probdecline"
"NW",-1.08366532976827,0.7256643978388,0.511912291699232,0.881358574440541,0.978130153147145,0.961333478579505,0.989557435725825,0.972554175391465,0.952532680789446,0.986652246568786,0.0539404362652805,0.0184011935989272,0.128357729473644,1.01689234645883,0.985547657995691,1.05881213023624,0.185
"SP",-1.08366532976827,0.706515620242622,0.456409705871137,0.863932219388473,0.932551980667265,0.892540728659645,0.962307669665087,0.916406397358387,0.868607081714367,0.951542574338928,0.142760556277822,0.0691032879812263,0.339125478754073,1.0119160396296,0.958838607989166,1.07036319287683,0.3385
"TM",-1.08366532976827,0.824358057167695,0.705322692025321,0.911596575896051,0.966794055367228,0.943538385000985,0.983096561211965,0.958449442750076,0.930076879317393,0.978488868405808,0.0811771996322946,0.0384218219393695,0.134297532694225,1.04205384167273,1.00486708969121,1.07777190091663,0.0133333333333333
"WM",-1.08366532976827,0.904853956976766,0.786743716196687,0.985580068932362,0.959233402128567,0.924716570376165,0.981822412989563,0.94914021610201,0.90780356238682,0.976559326475046,0.144041119641783,0.0643938307810148,0.258735714068844,1.08960869269208,1.03514367496582,1.13884857834222,0.00116666666666667
"WS",-1.08366532976827,0.765510856245898,0.644304717670979,0.866517682350079,0.970121780235341,0.948470967180416,0.984760991409227,0.96258077988438,0.935944394489641,0.980495955607466,0.0700808453556609,0.0351771252764742,0.117521333216895,1.02527854341178,0.99363437013645,1.05755782476537,0.0573333333333333
"AM",0,0.813529653826804,0.555406149054806,0.952465270502878,0.97771149627833,0.959166120523815,0.989829340853131,0.972013019485674,0.94964756588501,0.98708150139237,0.119884917028432,0.0475130898251287,0.280139502985482,1.06663290072215,1.01016044772385,1.12775483639273,0.009
"BM",0,0.762774105759885,0.360889512395799,0.95757954808303,0.978373992809948,0.953143610948777,0.992166938453447,0.972904290900411,0.942291910204584,0.989986500964296,0.0565655262555663,0.0154551168294564,0.151331755575086,1.02795956069039,0.979694292828803,1.08799520752325,0.165
"BZ",0,0.825544450818314,0.655429308662731,0.942220841282197,0.977844185310589,0.958792658365476,0.989893562536901,0.97219319959668,0.94870923443092,0.98712445128401,0.0897947866279826,0.0215669597219709,0.157298222941728,1.05558440163276,1.00301106261096,1.10301910776384,0.0201666666666667
"EB",0,0.742857326834287,0.489001294407894,0.916015133815034,0.977185690701844,0.957188698836482,0.989865074762459,0.971413512844258,0.947878437518331,0.986959831385687,0.0621767884146448,0.0221771180382019,0.139297247551486,1.02457592548585,0.986452323137752,1.07278508510188,0.123
"ET",0,0.786429857431797,0.672839438517378,0.906828017061812,0.989737627530478,0.981041675326363,0.995423569946073,0.987082234986795,0.976374464894026,0.994186549679596,0.0452228487150039,0.0189683757858983,0.0818887113977301,1.03072265415971,1.0075517227464,1.06034784764167,0.003
"FP",0,0.781959652191356,0.569690506029909,0.928791214584909,0.954816853710158,0.921789432365996,0.978358046687144,0.94364852847607,0.903196135701718,0.97237379151494,0.141017209815065,0.0534831237454693,0.268521490883259,1.04829444193658,0.992807114068619,1.10567182958171,0.0503333333333333
"GH",0,0.918784308467788,0.881032996821732,0.955576134488913,0.970250887664427,0.950444094864114,0.984440187884073,0.962740142169004,0.938193587111457,0.980080080783217,0.0715967165039233,0.0497704578693748,0.0951555222717655,1.06795591286491,1.04544342520073,1.08912380272447,0
"HF",0,0.831049841576275,0.626664163154985,0.95076578145082,0.976069216268331,0.955799522367012,0.988982163628642,0.970010096013025,0.94579525769091,0.985985557170789,0.095115380502394,0.0428101755247129,0.28042762927653,1.05633698472072,1.0086958151965,1.12317932088956,0.00783333333333333
"HM",0,0.797583297808593,0.645470819933447,0.911039848055242,0.983837818325944,0.972270567347968,0.991947050317836,0.979703192571904,0.965547976362315,0.989500814455313,0.0789737349623968,0.038424773503943,0.141986500371583,1.04858874565611,1.01499408342153,1.08759866117444,0.0015
"HQ",0,0.78890200216603,0.566499966264919,0.927072228898877,0.981157448423488,0.965564909748612,0.991018717851317,0.976340802012322,0.957362848151528,0.988683839466608,0.0760393259640427,0.0225041887969032,0.140427301571275,1.04377475556278,0.998779607665458,1.09212935981092,0.0301666666666667
"LS",0,0.864032812410947,0.791716442012577,0.930627187919217,0.978775680228195,0.96462842307121,0.988991750424299,0.973338117637777,0.955670718864411,0.985834723268685,0.0976742364746993,0.0650446992621014,0.14743296280462,1.0711490090049,1.04545649953679,1.09750913252938,0
"MM",0,0.855397321291283,0.684670980692942,0.958835527984086,0.973792607690828,0.954764062792907,0.987035572369885,0.967180557267984,0.944358035560539,0.983323493228157,0.0864124632029111,0.0375396069100622,0.238221326834584,1.05673913723029,1.00925847496182,1.11865060211706,0.006
"NW",0,0.784492426432181,0.563345822860553,0.936936064962156,0.989303687368923,0.978999283250824,0.995638143207056,0.986546619475217,0.974437758093775,0.994391361018415,0.0539404362652805,0.0184011935989272,0.128357729473644,1.03656007564649,1.00206341511717,1.0841449173608,0.0163333333333333
"SP",0,0.770370621205418,0.550583579614474,0.909967331244978,0.951662915142114,0.920141192194857,0.974663126092568,0.939790099952669,0.90215449240073,0.967436725681318,0.142760556277822,0.0691032879812263,0.339125478754073,1.04277746617721,0.991530619103299,1.09912601581142,0.054
"TM",0,0.867939477328524,0.759294639927985,0.94571834667349,0.979388683946181,0.964030920517598,0.989927542716675,0.974125947565075,0.95539725431686,0.987095064708716,0.0811771996322946,0.0384218219393695,0.134297532694225,1.06376671238697,1.02809923510439,1.09840261756148,0.000166666666666667
"WM",0,0.92707630252927,0.815059278746226,0.991342809505829,0.968554828691053,0.939314942581938,0.987154653732425,0.960667076978118,0.925409882524362,0.983499344469786,0.144041119641783,0.0643938307810148,0.258735714068844,1.10385586415079,1.05090782418932,1.1494019991572,0.000166666666666667
"WS",0,0.820823025181577,0.697948508886576,0.92076516773201,0.982842900598821,0.969382974556142,0.991838004151944,0.978446127853441,0.961981173050083,0.989555114092761,0.0700808453556609,0.0351771252764742,0.117521333216895,1.0479397070834,1.01641461596813,1.08156804295883,0.0015
"AM",3,0.907787280024693,0.715848406737252,0.989589586529742,0.992056290874135,0.982474944475828,0.997357662097304,0.989988061616496,0.97822737317016,0.99663352115471,0.119884917028432,0.0475130898251287,0.280139502985482,1.10380404728434,1.04551738686786,1.16040650238945,0
"BM",3,0.861954935511575,0.472308695724128,0.9950625387403,0.996515395937152,0.988887258449241,0.999435870890819,0.995621707416911,0.986152650305663,0.999266847296404,0.0565655262555663,0.0154551168294564,0.151331755575086,1.06389153133519,1.00738175781242,1.1252002999425,0.00566666666666667
"BZ",3,0.914997693329507,0.764687455621762,0.988496635633967,0.992104094625309,0.982445489935839,0.997364671556443,0.990052101914159,0.978201952649477,0.99667918676168,0.0897947866279826,0.0215669597219709,0.157298222941728,1.09188044050559,1.03087399317671,1.13568900479875,5e-04
"EB",3,0.863559586530646,0.615121834795889,0.988531125173007,0.995868958895196,0.989143290952702,0.999042795097979,0.99480773221137,0.986636913881168,0.998767232961607,0.0621767884146448,0.0221771180382019,0.139297247551486,1.06569786876978,1.0174823719621,1.11695274719374,5e-04
"ET",3,0.885556361311366,0.704935757279584,0.991989936537812,0.998426729278464,0.9955212405262,0.999673491915683,0.998019618927612,0.994493423142091,0.999579208766205,0.0452228487150039,0.0189683757858983,0.0818887113977301,1.06064718622832,1.02239175121247,1.10067590200498,0
"FP",3,0.882254279523402,0.660959273168534,0.99020926000273,0.975003662036037,0.944234621176768,0.993089531105359,0.968657741587634,0.930087508250609,0.991006859319356,0.141017209815065,0.0534831237454693,0.268521490883259,1.09322101526868,1.02671040582488,1.14939730523536,0.00366666666666667
"GH",3,0.964490086844306,0.922655547245191,0.9923823261512,0.992515560107452,0.984655790924779,0.997218693589949,0.990577888279429,0.980834215337195,0.996432375290246,0.0715967165039233,0.0497704578693748,0.0951555222717655,1.10012907516933,1.08031048423324,1.11773144067892,0
