"div","yr","mon","pdsi"
1,2018,1,-2.37
1,2018,2,-2.62
1,2018,3,-2.75
1,2018,4,-3.57
1,2018,5,-3.96
1,2018,6,-4.49
1,2018,7,-3.41
1,2018,8,-3.27
1,2018,9,-3.6
1,2018,10,0.74
1,2018,11,-0.38
1,2018,12,-0.8
1,2019,1,0.52
1,2019,2,2.03
1,2019,3,2.04
1,2019,4,2.19
1,2019,5,3.22
1,2019,6,4.09
1,2019,7,-0.71
1,2019,8,-1.81
1,2019,9,-2
1,2019,10,-2.3
1,2019,11,1.64
1,2019,12,2.02
1,2020,1,1.33
1,2020,2,1.08
1,2020,3,2.45
1,2020,4,2.74
1,2020,5,3.35
1,2020,6,3.23
1,2020,7,-0.97
1,2020,8,-2.1
1,2020,9,-2.71
1,2020,10,-3.22
1,2020,11,-3.37
1,2020,12,-3.63
3,1985,1,2.66
3,1985,2,2.65
3,1985,3,2.45
3,1985,4,2.5
3,1985,5,2.78
3,1985,6,2.81
3,1985,7,2.82
3,1985,8,1.42
3,1985,9,1.49
3,1985,10,1.59
3,1985,11,3.23
3,1985,12,2.51
3,1986,1,1.66
3,1986,2,1.38
3,1986,3,1.65
3,1986,4,1.42
3,1986,5,1.41
3,1986,6,1.55
3,1986,7,1.81
3,1986,8,1.74
3,1986,9,2.11
3,1986,10,2.18
3,1986,11,-0.24
3,1986,12,-0.23
3,1987,1,0.05
3,1987,2,0.28
3,1987,3,-0.14
3,1987,4,-0.42
3,1987,5,-0.23
3,1987,6,-0.19
3,1987,7,-0.51
3,1987,8,-0.66
3,1987,9,-0.9
3,1987,10,1.14
3,1987,11,1.98
3,1987,12,1.91
3,1988,1,1.93
3,1988,2,1.59
3,1988,3,0.84
3,1988,4,2.03
3,1988,5,2.08
3,1988,6,2.4
3,1988,7,2.19
3,1988,8,3.3
3,1988,9,-0.65
3,1988,10,-1.09
3,1988,11,-1.16
3,1988,12,-1.59
3,1989,1,-1.23
3,1989,2,-1.74
3,1989,3,-1.96
3,1989,4,-2.83
3,1989,5,-3.25
3,1989,6,-3.78
3,1989,7,-3.72
3,1989,8,-3.76
3,1989,9,-4.18
3,1989,10,-3.94
3,1989,11,-4.21
3,1989,12,-4.21
3,1990,1,-3.77
3,1990,2,-3.45
3,1990,3,-3.29
3,1990,4,-2.86
3,1990,5,-2.81
3,1990,6,-2.94
3,1990,7,1.21
3,1990,8,1
3,1990,9,1.72
3,1990,10,-0.32
3,1990,11,-0.57
3,1990,12,-0.88
3,1991,1,-1
3,1991,2,-1.21
3,1991,3,2.05
3,1991,4,1.63
3,1991,5,1.73
3,1991,6,1.96
3,1991,7,-0.32
3,1991,8,-0.72
3,1991,9,-0.72
3,1991,10,-0.95
3,1991,11,0.37
3,1991,12,0.57
3,1992,1,0.81
3,1992,2,1.41
3,1992,3,2.3
3,1992,4,2.05
3,1992,5,3.24
3,1992,6,3.69
3,1992,7,3.4
3,1992,8,4.47
3,1992,9,3.34
3,1992,10,2.83
3,1992,11,2.08
3,1992,12,3.09
3,1993,1,5.72
3,1993,2,7.49
3,1993,3,6.67
3,1993,4,5.71
3,1993,5,5.83
3,1993,6,5.52
3,1993,7,-1
3,1993,8,-0.69
3,1993,9,-1.33
3,1993,10,-0.79
3,1993,11,-0.23
3,1993,12,-0.69
3,1994,1,-1.34
3,1994,2,-1.29
3,1994,3,-1.35
3,1994,4,-1.23
3,1994,5,-1.52
3,1994,6,-2.16
3,1994,7,-2.75
3,1994,8,-3.17
3,1994,9,0.18
3,1994,10,0.04
3,1994,11,0.01
3,1994,12,0.4
3,1995,1,1.49
3,1995,2,1.84
3,1995,3,1.98
3,1995,4,2.12
3,1995,5,2.48
3,1995,6,3.03
3,1995,7,-0.57
3,1995,8,-0.73
3,1995,9,-0.32
3,1995,10,-0.99
3,1995,11,-1.48
3,1995,12,-2.06
3,1996,1,-2.73
3,1996,2,-3
3,1996,3,-3.28
3,1996,4,-4.03
3,1996,5,-4.75
3,1996,6,-5.31
3,1996,7,-5.09
3,1996,8,-5.39
3,1996,9,-4.52
3,1996,10,-4.5
3,1996,11,-4.3
3,1996,12,-4.56
3,1997,1,-3.6
3,1997,2,-3.34
3,1997,3,-3.84
3,1997,4,-3.3
3,1997,5,-3.3
3,1997,6,-3.43
3,1997,7,-4.15
3,1997,8,-3.82
3,1997,9,1.27
3,1997,10,0.75
3,1997,11,0.27
3,1997,12,0.54
3,1998,1,0.31
3,1998,2,1.38
3,1998,3,1.85
3,1998,4,2.15
3,1998,5,2.65
3,1998,6,3.26
3,1998,7,4.03
3,1998,8,3.86
3,1998,9,3.83
3,1998,10,3.64
3,1998,11,3.32
3,1998,12,-0.57
3,1999,1,-1.4
3,1999,2,-1.96
3,1999,3,-2.49
3,1999,4,-1.9
3,1999,5,-2.37
3,1999,6,-2.66
3,1999,7,1.06
3,1999,8,0.51
3,1999,9,1.84
3,1999,10,-0.76
3,1999,11,-1.48
3,1999,12,-2.09
3,2000,1,-2.77
3,2000,2,-2.98
3,2000,3,-2.37
3,2000,4,-2.8
3,2000,5,-3.55
3,2000,6,-3.55
3,2000,7,-4.53
3,2000,8,-3.69
3,2000,9,-4.24
3,2000,10,2.3
3,2000,11,2.09
