"plot","yr.m","ppt"
"AM","2013-10",5.83
"AM","2013-11",42.26
"AM","2013-12",4.03
"AM","2014-01",0
"AM","2014-02",0.52
"AM","2014-03",20.45
"AM","2014-04",3.7
"AM","2014-05",0
"AM","2014-06",0
"AM","2014-07",47.51
"AM","2014-08",104.49
"AM","2014-09",70.4
"AM","2014-10",4.98
"AM","2014-11",0
"AM","2014-12",52.5
"AM","2015-01",48.7
"AM","2015-02",18.72
"AM","2015-03",52.69
"AM","2015-04",7.59
"AM","2015-05",15.82
"AM","2015-06",8.74
"AM","2015-07",42.34
"AM","2015-08",28.46
"AM","2015-09",25.56
"AM","2015-10",51.75
"AM","2015-11",7.14
"AM","2015-12",9.13
"AM","2016-01",51.09
"AM","2016-02",9.39
"AM","2016-03",2.84
"AM","2016-04",18.82
"AM","2016-05",19.7
"AM","2016-06",3.62
"AM","2016-07",19.58
"AM","2016-08",74.76
"AM","2016-09",30.49
"AM","2016-10",6.14
"AM","2016-11",17.48
"AM","2016-12",79.53
"AM","2017-01",78.08
"AM","2017-02",50.63
"AM","2017-03",8.95
"AM","2017-04",2.68
"AM","2017-05",6.9
"AM","2017-06",0
"AM","2017-07",64.77
"AM","2017-08",22.31
"AM","2017-09",27.69
"AM","2017-10",0
"AM","2017-11",0
"AM","2017-12",0
"AM","2018-01",16.73
"AM","2018-02",15.11
"AM","2018-03",16.2
"AM","2018-04",0
"AM","2018-05",0
"AM","2018-06",4.58
"AM","2018-07",43.94
"AM","2018-08",40.03
"AM","2018-09",3.56
"AM","2018-10",40.5
"AM","2018-11",8.45
"AM","2018-12",4.72
"AM","2019-01",83.92
"AM","2019-02",113.35
"AM","2019-03",25.99
"AM","2019-04",9.24
"AM","2019-05",13.44
"AM","2019-06",0
"AM","2019-07",1.49
"AM","2019-08",3.47
"AM","2019-09",36.78
"AM","2019-10",0
"AM","2019-11",98.81
"AM","2019-12",44.62
"AM","2020-01",1.01
"AM","2020-02",15.31
"AM","2020-03",92.53
"AM","2020-04",6.95
"AM","2020-05",1.04
"AM","2020-06",0
"AM","2020-07",2.87
"BM","1985-01",37.98
"BM","1985-02",12.05
"BM","1985-03",11.46
"BM","1985-04",7.47
"BM","1985-05",0
"BM","1985-06",0.34
"BM","1985-07",10.04
"BM","1985-08",0
"BM","1985-09",17.92
"BM","1985-10",23.25
"BM","1985-11",46.24
"BM","1985-12",1.56
"BM","1986-01",12.23
"BM","1986-02",27.71
"BM","1986-03",42.33
"BM","1986-04",10.17
"BM","1986-05",2.83
"BM","1986-06",1.27
"BM","1986-07",20.29
"BM","1986-08",33.73
"BM","1986-09",26.95
"BM","1986-10",13
"BM","1986-11",18.63
"BM","1986-12",35.42
"BM","1987-01",18.57
"BM","1987-02",12.69
"BM","1987-03",7.56
"BM","1987-04",3.22
"BM","1987-05",6.53
"BM","1987-06",6.99
"BM","1987-07",8.2
"BM","1987-08",15.32
"BM","1987-09",18.27
"BM","1987-10",20.14
"BM","1987-11",34.9
"BM","1987-12",15.43
"BM","1988-01",28.71
"BM","1988-02",23.96
"BM","1988-03",0
"BM","1988-04",47.79
"BM","1988-05",0.52
"BM","1988-06",0
"BM","1988-07",17.08
"BM","1988-08",56.83
"BM","1988-09",0.94
"BM","1988-10",1.34
"BM","1988-11",10.13
"BM","1988-12",3.77
"BM","1989-01",34.77
"BM","1989-02",3.88
"BM","1989-03",8.64
"BM","1989-04",0
"BM","1989-05",1.79
"BM","1989-06",0
"BM","1989-07",6.27
"BM","1989-08",6.14
"BM","1989-09",1.48
"BM","1989-10",6.23
"BM","1989-11",0
"BM","1989-12",2.72
"BM","1990-01",37.28
"BM","1990-02",12.66
"BM","1990-03",12.6
"BM","1990-04",8.93
"BM","1990-05",17.48
"BM","1990-06",4.75
"BM","1990-07",42.13
"BM","1990-08",27.34
"BM","1990-09",30.45
"BM","1990-10",4.08
"BM","1990-11",4.29
"BM","1990-12",0
"BM","1991-01",28.87
"BM","1991-02",16.63
"BM","1991-03",96.94
"BM","1991-04",0
"BM","1991-05",0
"BM","1991-06",0.99
"BM","1991-07",0
"BM","1991-08",14.52
"BM","1991-09",17.22
"BM","1991-10",3.66
"BM","1991-11",10.33
"BM","1991-12",15.42
"BM","1992-01",30.76
"BM","1992-02",60.45
"BM","1992-03",121.74
"BM","1992-04",3.33
"BM","1992-05",18.72
"BM","1992-06",0
"BM","1992-07",0.02
"BM","1992-08",20.99
"BM","1992-09",0
"BM","1992-10",33.63
"BM","1992-11",0
"BM","1992-12",42.14
"BM","1993-01",133.72
"BM","1993-02",95.56
"BM","1993-03",20.75
"BM","1993-04",0
"BM","1993-05",5.48
"BM","1993-06",1.53
"BM","1993-07",0
"BM","1993-08",24.33
"BM","1993-09",1.39
"BM","1993-10",8.77
"BM","1993-11",13.88
"BM","1993-12",2.75
"BM","1994-01",2.76
"BM","1994-02",14.68
"BM","1994-03",36.86
"BM","1994-04",4.46
"BM","1994-05",6.47
"BM","1994-06",0
"BM","1994-07",11.78
"BM","1994-08",2.17
"BM","1994-09",2.68
"BM","1994-10",7.68
"BM","1994-11",15.33
"BM","1994-12",32.57
"BM","1995-01",65.49
"BM","1995-02",26.22
"BM","1995-03",34.46
"BM","1995-04",9.24
"BM","1995-05",3.84
"BM","1995-06",0
"BM","1995-07",0
"BM","1995-08",7.55
"BM","1995-09",3.98
"BM","1995-10",0
"BM","1995-11",0.88
"BM","1995-12",1.24
"BM","1996-01",4.23
"BM","1996-02",19.43
"BM","1996-03",4.67
"BM","1996-04",0
"BM","1996-05",1.8
"BM","1996-06",0
"BM","1996-07",3.03
"BM","1996-08",3.08
"BM","1996-09",4.46
"BM","1996-10",4.17
"BM","1996-11",21.69
"BM","1996-12",1.56
"BM","1997-01",44.63
"BM","1997-02",21.27
"BM","1997-03",0
"BM","1997-04",6.96
"BM","1997-05",0
"BM","1997-06",0.55
"BM","1997-07",9.53
"BM","1997-08",20.37
"BM","1997-09",53.99
"BM","1997-10",0
"BM","1997-11",7.36
"BM","1997-12",16.51
"BM","1998-01",16.79
"BM","1998-02",105.19
"BM","1998-03",30.69
"BM","1998-04",18.09
"BM","1998-05",4.14
"BM","1998-06",0
"BM","1998-07",16.75
"BM","1998-08",34.84
"BM","1998-09",31.38
"BM","1998-10",4.13
"BM","1998-11",17.08
"BM","1998-12",2.92
"BM","1999-01",7.42
"BM","1999-02",17.52
"BM","1999-03",1.27
"BM","1999-04",29.24
"BM","1999-05",1.1
"BM","1999-06",2.76
"BM","1999-07",53.82
"BM","1999-08",1.94
"BM","1999-09",20.63
